From,To,Intensity,Fuel,Value
2021-08-03T03:30Z,2021-08-03T04:00Z,91,hydro,0.3
2021-08-03T03:30Z,2021-08-03T04:00Z,91,solar,0.0
2021-08-03T03:30Z,2021-08-03T04:00Z,91,wind,1.0
2021-08-03T04:00Z,2021-08-03T04:30Z,94,biomass,0.0
2021-08-03T04:00Z,2021-08-03T04:30Z,94,coal,0.0
2021-08-03T04:00Z,2021-08-03T04:30Z,94,imports,79.1
2021-08-03T04:00Z,2021-08-03T04:30Z,94,gas,19.4
2021-08-03T04:00Z,2021-08-03T04:30Z,94,nuclear,0.0
2021-08-03T04:00Z,2021-08-03T04:30Z,94,other,0.0
2021-08-03T04:00Z,2021-08-03T04:30Z,94,hydro,0.4
2021-08-03T04:00Z,2021-08-03T04:30Z,94,solar,0.0
2021-08-03T04:00Z,2021-08-03T04:30Z,94,wind,1.0
2021-08-03T04:30Z,2021-08-03T05:00Z,97,biomass,0.0
2021-08-03T04:30Z,2021-08-03T05:00Z,97,coal,0.0
2021-08-03T04:30Z,2021-08-03T05:00Z,97,imports,78.7
2021-08-03T04:30Z,2021-08-03T05:00Z,97,gas,19.9
2021-08-03T04:30Z,2021-08-03T05:00Z,97,nuclear,0.0
2021-08-03T04:30Z,2021-08-03T05:00Z,97,other,0.0
2021-08-03T04:30Z,2021-08-03T05:00Z,97,hydro,0.5
2021-08-03T04:30Z,2021-08-03T05:00Z,97,solar,0.0
2021-08-03T04:30Z,2021-08-03T05:00Z,97,wind,0.9
2021-08-03T05:00Z,2021-08-03T05:30Z,102,biomass,0.0
2021-08-03T05:00Z,2021-08-03T05:30Z,102,coal,0.0
2021-08-03T05:00Z,2021-08-03T05:30Z,102,imports,77.2
2021-08-03T05:00Z,2021-08-03T05:30Z,102,gas,21.3
2021-08-03T05:00Z,2021-08-03T05:30Z,102,nuclear,0.0
2021-08-03T05:00Z,2021-08-03T05:30Z,102,other,0.0
2021-08-03T05:00Z,2021-08-03T05:30Z,102,hydro,0.5
2021-08-03T05:00Z,2021-08-03T05:30Z,102,solar,0.3
2021-08-03T05:00Z,2021-08-03T05:30Z,102,wind,0.7
2021-08-03T05:30Z,2021-08-03T06:00Z,115,biomass,0.0
2021-08-03T05:30Z,2021-08-03T06:00Z,115,coal,0.0
2021-08-03T05:30Z,2021-08-03T06:00Z,115,imports,73.4
2021-08-03T05:30Z,2021-08-03T06:00Z,115,gas,24.8
2021-08-03T05:30Z,2021-08-03T06:00Z,115,nuclear,0.0
2021-08-03T05:30Z,2021-08-03T06:00Z,115,other,0.0
2021-08-03T05:30Z,2021-08-03T06:00Z,115,hydro,0.4
2021-08-03T05:30Z,2021-08-03T06:00Z,115,solar,0.7
2021-08-03T05:30Z,2021-08-03T06:00Z,115,wind,0.7
2021-08-03T06:00Z,2021-08-03T06:30Z,115,biomass,0.0
2021-08-03T06:00Z,2021-08-03T06:30Z,115,coal,0.0
2021-08-03T06:00Z,2021-08-03T06:30Z,115,imports,73.1
2021-08-03T06:00Z,2021-08-03T06:30Z,115,gas,24.8
2021-08-03T06:00Z,2021-08-03T06:30Z,115,nuclear,0.0
2021-08-03T06:00Z,2021-08-03T06:30Z,115,other,0.0
2021-08-03T06:00Z,2021-08-03T06:30Z,115,hydro,0.3
2021-08-03T06:00Z,2021-08-03T06:30Z,115,solar,1.2
2021-08-03T06:00Z,2021-08-03T06:30Z,115,wind,0.6
2021-08-03T06:30Z,2021-08-03T07:00Z,118,biomass,0.0
2021-08-03T06:30Z,2021-08-03T07:00Z,118,coal,0.0
2021-08-03T06:30Z,2021-08-03T07:00Z,118,imports,71.9
2021-08-03T06:30Z,2021-08-03T07:00Z,118,gas,25.6
2021-08-03T06:30Z,2021-08-03T07:00Z,118,nuclear,0.0
2021-08-03T06:30Z,2021-08-03T07:00Z,118,other,0.0
2021-08-03T06:30Z,2021-08-03T07:00Z,118,hydro,0.3
2021-08-03T06:30Z,2021-08-03T07:00Z,118,solar,1.5
2021-08-03T06:30Z,2021-08-03T07:00Z,118,wind,0.7
2021-08-03T07:00Z,2021-08-03T07:30Z,120,biomass,0.0
2021-08-03T07:00Z,2021-08-03T07:30Z,120,coal,0.0
2021-08-03T07:00Z,2021-08-03T07:30Z,120,imports,71.0
2021-08-03T07:00Z,2021-08-03T07:30Z,120,gas,26.2
2021-08-03T07:00Z,2021-08-03T07:30Z,120,nuclear,0.0
2021-08-03T07:00Z,2021-08-03T07:30Z,120,other,0.0
2021-08-03T07:00Z,2021-08-03T07:30Z,120,hydro,0.3
2021-08-03T07:00Z,2021-08-03T07:30Z,120,solar,1.6
2021-08-03T07:00Z,2021-08-03T07:30Z,120,wind,0.8
2021-08-03T07:30Z,2021-08-03T08:00Z,118,biomass,0.0
2021-08-03T07:30Z,2021-08-03T08:00Z,118,coal,0.0
2021-08-03T07:30Z,2021-08-03T08:00Z,118,imports,71.1
2021-08-03T07:30Z,2021-08-03T08:00Z,118,gas,25.6
2021-08-03T07:30Z,2021-08-03T08:00Z,118,nuclear,0.0
