date,time,frequency
2021-08-16,11:58:30,50.024
2021-08-16,11:58:45,50.021
2021-08-16,11:59:00,50.025
2021-08-16,11:59:15,50.028
2021-08-16,11:59:30,50.043
2021-08-16,11:59:45,50.045
2021-08-16,12:00:00,50.055
2021-08-16,12:00:15,50.026
2021-08-16,12:00:30,50.026
2021-08-16,12:00:45,50.017
2021-08-16,12:01:00,50.021
2021-08-16,12:01:15,49.992
2021-08-16,12:01:30,50.017
2021-08-16,12:01:45,50.03
2021-08-16,12:02:00,50.011
2021-08-16,12:02:15,49.999
2021-08-16,12:02:30,49.997
2021-08-16,12:02:45,50.004
2021-08-16,12:03:00,49.998
2021-08-16,12:03:15,49.98
2021-08-16,12:03:30,50.002
2021-08-16,12:03:45,50.02
2021-08-16,12:04:00,50.01
2021-08-16,12:04:15,50.038
2021-08-16,12:04:30,50.033
2021-08-16,12:04:45,50.037
2021-08-16,12:05:00,50.023
2021-08-16,12:05:15,50.026
2021-08-16,12:05:30,50.024
2021-08-16,12:05:45,50.041
2021-08-16,12:06:00,50.033
2021-08-16,12:06:15,50.024
2021-08-16,12:06:30,50.016
2021-08-16,12:06:45,50.013
2021-08-16,12:07:00,49.999
2021-08-16,12:07:15,50.0
2021-08-16,12:07:30,50.013
2021-08-16,12:07:45,50.027
2021-08-16,12:08:00,50.036
2021-08-16,12:08:15,50.05
2021-08-16,12:08:30,50.054
2021-08-16,12:08:45,50.044
2021-08-16,12:09:00,50.034
2021-08-16,12:09:15,50.027
2021-08-16,12:09:30,50.033
2021-08-16,12:09:45,50.052
