Date,Time,Demand
2021-08-04,11:00,27055.0
2021-08-04,11:05,27080.0
2021-08-04,11:10,27098.0
2021-08-04,11:15,27137.0
2021-08-04,11:20,27164.0
2021-08-04,11:25,27140.0
2021-08-04,11:30,27143.0
2021-08-04,11:35,27167.0
2021-08-04,11:40,27118.0
2021-08-04,11:45,27103.0
2021-08-04,11:50,27100.0
2021-08-04,11:55,27048.0
